Name,Address,Latitude,Longitude
Albany,"Shop 1, 69 Lockyer Ave ",-35.018596,117.883642
Alderley,"Shop 2, 30 South Pine Rd ",-27.424353,153.000255
Armadale,Shop 11 Haynes Shop Centre Cnr Armadale & Eight Rd's ,-32.147416,115.984371
Ashgrove,"Shop 2, 214 Waterworks Rd ",-27.4455,152.994
Ashmore,149 Cotlew St ,-27.986087,153.383716
Aspley,"Shop 10, 1370 Gympie Rd ",-27.36263,153.016176
Auburn,115 Auburn Rd ,-33.854,151.032
Baldivis,"Shop 19 Stockland Shopping Centre, 20 Settlers Ave ",-32.334056,115.814656
Balga,"Shop 10A Fieldgate Square, 25 Culloton Cres ",-31.848747,115.825105
Balgowlah,312 Sydney Rd ,-33.79449,151.2659
Ballarat Dine In,31 Victoria St ,-37.5624,143.866
Bankstown,242 Chapel Rd Sth ,-33.9212,151.031
Bassendean,Cnr West & Guildford Roads ,-31.903149,115.954184
Bateau Bay,161 Cresthaven Ave ,-33.385838,151.462369
Bathurst,"Shop 1, 52 Durham St ",-33.415679,149.58281
Baulkham Hills,22A Old Northern Rd ,-33.7602714,150.9925934
Beenleigh,116 George St ,-27.715919,153.20265
Beerwah,4/70 Simpson Rd ,-26.858747,152.957814
Belfield,26A Burwood Rd ,-33.9033,151.084
Bell Post Hill,"Shop 23, 290 Anakie Rd ",-38.0901,144.336
Bellbowrie,37 Birkin Rd ,-27.5623,152.888
Belmont Village,"Shop 13B, 65 High St ",-38.1707,144.347
Belmont WA,Unit 1A Cnr Belmont Av & Fulham St ,-31.966954,115.934592
Bendigo Dine In,Cnr High St & Violet St ,-36.7646,144.269
Bentleigh East,697 Centre Rd ,-37.9205,145.054
Bentley Park,"Shop 12b, 96 Mclaughlin Rd ",-17.005565,145.741759
Beverly Hills,322 King Georges Rd ,-33.9403,151.076
Birkdale,"Shop 10, 180 Birkdale Rd ",-27.492612,153.21729
Blacktown,88 Reservoir Rd ,-33.7794689,150.9012408
Blackwater,"Shop 9, 5 Rufus St ",-23.583404,148.880479
